id,name,address_line,directions,hours,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,photo_uri
401333315550,QUEEN CREEK LIBRARY,21802 S ELLSWORTH RD QUEEN CREEK AZ 85142,,6AM to 7PM,,,,,,,
401333315546,DEER VALLEY WORSHIP CENTER,20817 N 19TH AVE PHOENIX AZ 85027,,6AM to 7PM,,,,,,,
401333315486,ENVIRONMENTAL EDUCATION CENTER,4050 E CHANDLER HEIGHTS RD CHANDLER AZ 85249,,6AM to 7PM,,,,,,,
401333315461,CHURCH OF JESUS CHRISTOF LDS/SAN TAN STAKE,4170 S RANCH HOUSE PKWY GILBERT AZ 85297,,6AM to 7PM,,,,,,,
401333315355,COMPASS CHURCH,16060 W VAN BUREN ST GOODYEAR AZ 85338,,6AM to 7PM,,,,,,,
401333315349,MARLEY PARK (HERITAGE PARK CLUB),15210 W SWEETWATER AVE SURPRISE AZ 85379,,6AM to 7PM,,,,,,,
401333315342,SADDLE MOUNTAIN R V PARK,40902 W OSBORN RD TONOPAH AZ 85354,,6AM to 7PM,,,,,,,
401333315258,ARIZONA TRADITIONS COMMUNITY,17225 N CITRUS RD SURPRISE AZ 85374,,6AM to 7PM,,,,,,,
401333315203,DYSART COMMUNITY CENTER,14414 N EL MIRAGE RD EL MIRAGE AZ 85335,,6AM to 7PM,,,,,,,
401333315097,CROSS OF GLORY EVANGELICAL LUTH CHR,10111 W JOMAX RD PEORIA AZ 85383,,6AM to 7PM,,,,,,,
401333314948,PINNACLE PEAK PUBLIC SAFETY SUBSTATION,23100 N LAKE PLEASANT RD PEORIA AZ 85383,,6AM to 7PM,,,,,,,
401333314944,NORTH VALLEY REGIONAL LIBRARY/ANTHEM,40410 N GAVILAN PEAK PKWY PHOENIX AZ 85086,,6AM to 7PM,,,,,,,
401333314795,HOPE CHAPEL,17417 N 63RD AVE GLENDALE AZ 85308,,6AM to 7PM,,,,,,,
401333314753,MCDOWELL MOUNTAIN COMMUNITY CHURCH,10700 N 124TH ST SCOTTSDALE AZ 85259,,6AM to 7PM,,,,,,,
401333314752,SALVATION ARMY PHOENIX CITADEL CORP,632 N 3RD AVE PHOENIX AZ 85003,,6AM to 7PM,,,,,,,
401333314664,SOUTH PEORIA BAPTIST CH,9000 W OLIVE AVE PEORIA AZ 85345,,6AM to 7PM,,,,,,,
401333314575,MT ZION CHRISTIAN ASSEMBLY CHURCH,1421 S PALO VERDE RD BUCKEYE AZ 85326,,6AM to 7PM,,,,,,,
401333314417,SUN VALLEY  COMMUNITY CHURCH,3065 S ELLSWORTH RD MESA AZ 85212,,6AM to 7PM,,,,,,,
401333314400,FOUNTAIN HILLS COMMUNITY CENTER,13001 N LA MONTANA DR FOUNTAIN HILLS AZ 85268,,6AM to 7PM,,,,,,,
401333314286,HI-WAY BAPTIST CHR,10505 E BROWN RD MESA AZ 85207,,6AM to 7PM,,,,,,,
401333313976,EAGLES NEST COUNTRY CLUB,3645  CLUBHOUSE DR GOODYEAR AZ 85395,,6AM to 7PM,,,,,,,
401333313917,TEMPE POLICE SUBSTATION,8201 S HARDY DR TEMPE AZ 85284,,6AM to 7PM,,,,,,,
401333313859,HORIZON COMMUNITY CENTER,15444 N 100TH ST SCOTTSDALE AZ 85260,,6AM to 7PM,,,,,,,
401333313851,SAN LUCY DIST ADMIN BLDG,1216 N 307TH AVE GILA BEND AZ 85337,,6AM to 7PM,,,,,,,
401333313849,ARIZONA HISTORICAL MUSEUM,1300 N COLLEGE AVE TEMPE AZ 85281,,6AM to 7PM,,,,,,,
401333313771,PINNACLE PRESBYTERIAN CHURCH,25150 N PIMA RD SCOTTSDALE AZ 85255,,6AM to 7PM,,,,,,,
401333313481,KAKA VILLAGE COMMUNITY CENTER,1  KAKA VILLAGE GILA BEND AZ 85337,,6AM to 7PM,,,,,,,
401333313051,HAPPY VALLEY BAPTIST CHURCH,24220 N 43RD AVE GLENDALE AZ 85310,,6AM to 7PM,,,,,,,
401333313020,CHURCH OF THE BEATITUDES,555 W GLENDALE AVE PHOENIX AZ 85021,,6AM to 7PM,,,,,,,
