id,name,address_line,directions,hours,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,photo_uri
88802578,,Highway 162 Hollywood SC 29449,,,,,,,,,
88802577,,N McElhaney Rd Greer SC 29651,,,,,,,,,
88802576,,Monaview St Greenville SC 29617,,,,,,,,,
88802575,,Hillpine Rd Columbia SC 29212,,,,,,,,,
88802574,,Polo Rd Columbia SC 29223,,,,,,,,,
88802573,,Old Buncombe Rd Greenville SC 29609,,,,,,,,,
88802572,,Bluefield Dr Columbia SC 29210,,,,,,,,,
88802571,,Harbison Blvd Columbia SC 29212,,,,,,,,,
88802570,,Chadford Rd Irmo SC 29063,,,,,,,,,
88802569,,N Trenholm Rd Columbia SC 29206,,,,,,,,,
88802568,,Ikes Rd Taylors SC 29687,,,,,,,,,
88802567,,Patterson Rd Columbia SC 29209,,,,,,,,,
88802566,,Boney Rd Blythewood SC 29016,,,,,,,,,
88802565,,Union St Columbia SC 29201,,,,,,,,,
88802564,,W Bramlett Rd Greenville SC 29611,,,,,,,,,
88802563,,Beech Hill Rd Summerville SC 29485,,,,,,,,,
88802561,,All Star Way Greenville SC 29615,,,,,,,,,
88802560,,College St E Bethune SC 29009,,,,,,,,,
88802559,,Ascauga Lake Rd North Augusta SC 29841,,,,,,,,,
88802558,,Ascauga Lake Rd North Augusta SC 29841,,,,,,,,,
88802557,,Olanta Hwy Timmonsville SC 29161,,,,,,,,,
88802556,,N Cashua Dr Florence SC 29501,,,,,,,,,
88802555,,Miracle Hill Rd Pickens SC 29671,,,,,,,,,
88802554,,Highway 17 Byp S Myrtle Beach SC 29588,,,,,,,,,
88802553,,Charleston Hwy Aiken SC 29801,,,,,,,,,
88802552,,E Pine Log Rd Aiken SC 29803,,,,,,,,,
88802551,,E Pine Log Rd Aiken SC 29803,,,,,,,,,
88802550,,W Martintown Rd North Augusta SC 29841,,,,,,,,,
88802549,,Williston Rd Beech Island SC 29842,,,,,,,,,
88802548,,Greenwave Blvd Summerville SC 29483,,,,,,,,,
88802547,,Skyland Dr Columbia SC 29210,,,,,,,,,
88802546,,Neeses Hwy Neeses SC 29107,,,,,,,,,
88802545,,Flint Hill Rd Fort Mill SC 29715,,,,,,,,,
88802544,,Flint Hill Rd Fort Mill SC 29715,,,,,,,,,
88802543,,Church St McConnells SC 29726,,,,,,,,,
88802542,,Church St McConnells SC 29726,,,,,,,,,
88802541,,Springdale Rd Rock Hill SC 29730,,,,,,,,,
88802540,,Springdale Rd Rock Hill SC 29730,,,,,,,,,
88802538,,Heckle Blvd Rock Hill SC 29730,,,,,,,,,
88802537,,Sam Rittenberg Blvd Charleston SC 29407,,,,,,,,,
88802536,,Savannah Hwy Charleston SC 29407,,,,,,,,,
88802535,,Savannah Hwy Charleston SC 29407,,,,,,,,,
88802534,,Crepe Myrtle Dr Aiken SC 29803,,,,,,,,,
88802533,,N Boulevard Anderson SC 29621,,,,,,,,,
88802532,,Bellview Rd Woodruff SC 29388,,,,,,,,,
88802531,,Hunters Ln Goose Creek SC 29445,,,,,,,,,
88802530,,Davidson Dr Ladson SC 29456,,,,,,,,,
88802529,,Liberty Hall Rd Goose Creek SC 29445,,,,,,,,,
88802528,,Cypress Gardens Rd Moncks Corner SC 29461,,,,,,,,,
88802527,,S Limestone St Gaffney SC 29340,,,,,,,,,
88802525,,S Port Royal Dr Hilton Head Island SC 29928,,,,,,,,,
88802524,,Whooping Crane Way Hilton Head Island SC 29926,,,,,,,,,
88802523,,High Bluff Rd Hilton Head Island SC 29926,,,,,,,,,
88802522,,Wade Hampton Blvd Greenville SC 29609,,,,,,,,,
88802521,,S Duncan Byp Union SC 29379,,,,,,,,,
88802520,,N Main St Sumter SC 29150,,,,,,,,,
88802519,,N Church St Spartanburg SC 29303,,,,,,,,,
88802518,,Law Range St Saluda SC 29138,,,,,,,,,
88802517,,Amelia St Orangeburg SC 29115,,,,,,,,,
88802516,,S Pine St Walhalla SC 29691,,,,,,,,,
88802515,,Wilson Rd Newberry SC 29108,,,,,,,,,
88802514,,S Marlboro St Bennettsville SC 29512,,,,,,,,,
88802513,,S Mine St McCormick SC 29835,,,,,,,,,
88802512,,W Main St Lexington SC 29072,,,,,,,,,
88802511,,Gregg St Bishopville SC 29010,,,,,,,,,
88802510,,University Rdg Greenville SC 29601,,,,,,,,,
88802509,,S Congress St Winnsboro SC 29180,,,,,,,,,
88802508,,Penn St Edgefield SC 29824,,,,,,,,,
88802507,,Johnston St Saint George SC 29477,,,,,,,,,
88802506,,W Main St Dillon SC 29536,,,,,,,,,
88802505,,W Main St Chesterfield SC 29709,,,,,,,,,
88802504,,Ella St Chester SC 29706,,,,,,,,,
88802503,,Courthouse Dr Saint Matthews SC 29135,,,,,,,,,
88802502,,Belt Dr Moncks Corner SC 29461,,,,,,,,,
88802501,,Main Hwy Bamberg SC 29003,,,,,,,,,
88802499,,Mount Gallant Rd Rock Hill SC 29732,,,,,,,,,
88802497,,4th Ave Conway SC 29526,,,,,,,,,
88802496,,Scholar Way Summerville SC 29483,,,,,,,,,
88802495,,Charles B Gibson Blvd Goose Creek SC 29445,,,,,,,,,
88802494,,Williams Ln Hanahan SC 29410,,,,,,,,,
88802493,,W Main St Duncan SC 29334,,,,,,,,,
88802492,,Lucy P Edwards Rd Woodruff SC 29388,,,,,,,,,
88802491,,Canaan Rd Roebuck SC 29376,,,,,,,,,
88802490,,Foxfield Rd Walterboro SC 29488,,,,,,,,,
88802489,,Fairfield Rd Chesnee SC 29323,,,,,,,,,
88802488,,River Falls Rd Marietta SC 29661,,,,,,,,,
88802487,,Sun City Blvd Indian Land SC 29707,,,,,,,,,
88802486,,River Rd Indian Land SC 29707,,,,,,,,,
88802485,,Charlotte Hwy Lancaster SC 29720,,,,,,,,,
88802484,,Harrisburg Rd Indian Land SC 29707,,,,,,,,,
88802483,,Van Wyck Rd Lancaster SC 29720,,,,,,,,,
88802482,,Charlotte Hwy Indian Land SC 29707,,,,,,,,,
88802481,,International Dr Myrtle Beach SC 29579,,,,,,,,,
88802480,,Highway 57 S Little River SC 29566,,,,,,,,,
88802479,,Carolina Forest Blvd Myrtle Beach SC 29579,,,,,,,,,
88802478,,Highway 57 N Little River SC 29566,,,,,,,,,
88802477,,Grassy Pond Rd Gaffney SC 29341,,,,,,,,,
88802476,,Boiling Springs Hwy Gaffney SC 29341,,,,,,,,,
88802475,,Overbrook Dr Gaffney SC 29341,,,,,,,,,
88802473,,Church St Laurens SC 29360,,,,,,,,,
88802472,,Forestbrook Rd Myrtle Beach SC 29588,,,,,,,,,
88802471,,Cherokee Ave Gaffney SC 29340,,,,,,,,,
88802470,,Goucher School Rd Gaffney SC 29340,,,,,,,,,
88802469,,W Oneal St Gaffney SC 29340,,,,,,,,,
88802468,,Rifle Range Rd Mount Pleasant SC 29464,,,,,,,,,
88802465,,N Highway 17 Mount Pleasant SC 29466,,,,,,,,,
88802464,,Marina Dr Saint Helena Island SC 29920,,,,,,,,,
88802462,,Central Ave Goose Creek SC 29445,,,,,,,,,
88802461,,Highway 76 W Honea Path SC 29654,,,,,,,,,
88802460,,Gardendale Rd Fort Mill SC 29708,,,,,,,,,
88802459,,Charlotte Hwy York SC 29745,,,,,,,,,
